"UID","TIME"
"1669878587851-consumeruser","0"
"1669878780957-consumeruser","0"
"1669878766565-consumeruser","0"
"1669878570881-consumeruser","0"
"1669878659280-consumeruser","0"
"1669878795256-consumeruser","0"
"1669878479618-consumeruser","0"
"1669878512257-consumeruser","0"
"1669878735055-consumeruser","0"
"1669878444495-consumeruser","0"
"1669872084245-consumeruser","1669883360984"
"1669878527984-consumeruser","1669881667124"
"1669878622555-consumeruser","0"
"1669878852572-consumeruser","0"
"1669872160575-staffuser","1669892908767"
"1669878388713-consumeruser","1669882951651"
"1669878722814-consumeruser","0"
"1669878690434-consumeruser","0"
"0000000000000-adminuser","1669894931608"
"1669878814301-consumeruser","0"
"1669872197598-consumeruser","0"
"1669878549882-consumeruser","0"
"1669878877009-consumeruser","0"
